idx,class,conversation
0,일반 대화,"현우야, 오늘 저녁에 혹시 시간 돼? 맛있는 거 먹으러 갈까?
오늘? 갑자기 웬일이야? 무슨 좋은 일이라도 있어?
아니, 그냥 오랜만에 얼굴 보고 저녁이나 같이 먹을까 해서 연락했지.
아, 진짜 미안해서 어쩌지. 나 오늘 오늘 가족 외식이 잡혀있어서 못 갈 것 같아.
아 그래? 정말 아쉽네. 중요한 약속인가 보구나.
응, 미리 잡힌 약속이라 취소하기가 좀 곤란해서. 미안해.
아니야, 어쩔 수 없지 뭐. 가족들이랑(친구랑) 즐거운 시간 보내.
고마워. 다음에 시간 될 때 내가 먼저 연락해서 밥 살게.
그래, 주말쯤에 시간 맞으면 그때 보자. 조심해서 들어가.
알겠어. 너도 저녁 챙겨 먹고 들어가. 연락할게."
1,일반 대화,"혜진야, 이번에 새로 개봉한 액션 영화 봤어? 재밌다던데.
아니 아직 못 봤어. 예고편 보니까 평점도 좋더라.
그럼 오늘 학교 끝나고 같이 보러 갈래? 내가 예매할게.
아, 나도 너무 보고 싶은데 오늘은 학원 보강이 있어.
저런, 시험 기간도 아닌데 보강을 해? 많이 바쁘겠네.
응, 저번 주에 빠진 게 있어서 오늘 채워야 해. 아쉽다.
공부하느라 고생이 많네. 그럼 영화는 다음에 시간 날 때 보자.
그래, 다음 주 주말쯤이면 시간 괜찮을 것 같아.
알겠어. 그럼 그때 다시 이야기하자. 공부 열심히 해.
응, 이해해줘서 고마워. 나중에 톡 할게."
2,일반 대화,"준호야, 미안한데 혹시 지금 여유 자금 좀 있어?
갑자기 돈은 왜? 무슨 급한 일이라도 생긴 거야?
응, 급하게 살 게 있는데 지금 현금이 조금 부족해서 그래.
아, 정말 미안한데 나도 이번 달 용돈을 다 써서 돈이 없어.
아 그렇구나. 내가 너무 곤란한 부탁을 했네. 미안해.
아니야, 도움이 못 돼서 내가 더 미안해. 많이 급한 거야?
아니야, 다른 친구한테 한번 물어보지 뭐. 신경 쓰지 마.
그래, 잘 해결되길 바랄게. 다음에 맛있는 거 먹자.
응, 걱정해줘서 고마워. 나중에 다시 연락할게.
응, 너무 무리하지 말고. 조심히 들어가."
3,일반 대화,"야 민수, 오늘 수업 끝나고 PC방 가서 게임 한판 할래?
오, 게임? 요즘 랭크 게임 티어 올리는 중이야?
응, 오늘 딱 삘이 와서 너랑 듀오 하면 이길 것 같아서.
아, 진짜 가고 싶은데 오늘은 몸이 좀 안 좋아서 쉬어야 할 것 같아.
어디 많이 아파? 감기 걸린 거야? 목소리가 좀 잠긴 것 같네.
응, 어제부터 으슬으슬하더니 열이 좀 나는 것 같아서.
저런, 그럼 오늘은 무리하지 말고 집 가서 푹 쉬어.
미안해. 컨디션 회복하면 내가 먼저 연락할게.
그래, 약 챙겨 먹고. 게임은 나중에 하면 되니까.
고마워. 너도 오늘 게임 연승하길 바랄게. 안녕."
4,일반 대화,"준호야, 혹시 어제 수학 숙제 다 했어? 문제 너무 어렵더라.
응, 나도 겨우 다 끝냈어. 마지막 문제 진짜 헷갈리던데.
나 진짜 모르겠어서 그러는데 노트 좀 보여줄 수 있어?
음, 미안하지만 그건 좀 곤란해. 선생님이 베끼면 0점 처리하신대.
아 맞다. 이번 수행평가 반영된다고 하셨었지. 내가 깜빡했네.
응, 대신 모르는 부분 물어보면 내가 설명은 해줄 수 있어.
그래주면 정말 고맙지. 이 공식이 도저히 이해가 안 가서.
점심시간에 내가 도서관에서 알려줄게. 그때 보자.
알겠어. 곤란한 부탁 해서 미안하고 도와줘서 고마워.
친구끼리 뭘. 이따 점심 먹고 봐."
5,일반 대화,"동현야, 이번 주말에 애들이랑 바다 보러 가기로 했는데 너도 갈래?
와 바다? 진짜 재밌겠다. 누구누구 가기로 했어?
나랑 철수랑 영희랑 가기로 했어. 너도 가면 딱 맞을 것 같아.
아, 이번 주말은 내가 시골 할머니 댁에 내려가야 해서 못 가.
아 정말? 오랜만에 다 같이 모이는 거라 기대했는데 아쉽네.
그러게. 미리 알았으면 일정을 조정했을 텐데 미안해.
아니야, 할머니 뵙는 게 더 중요하지. 잘 다녀와.
응, 가서 재밌게 놀고 사진 많이 찍어서 보내줘.
알겠어. 너 몫까지 신나게 놀고 올게. 다음에 같이 가자.
그래, 조심히 다녀오고 월요일에 학교에서 보자."
6,일반 대화,"동현야, 나 옷 사러 가야 하는데 내일 시내 같이 가줄 수 있어?
옷? 계절 바뀌어서 새 옷 장만하려고?
응, 입을 옷이 하나도 없어서. 네가 옷 잘 고르잖아.
칭찬은 고마운데 내일은 내가 수행평가 준비 때문에 바빠.
아, 다음 주가 수행평가 주간이었지. 내가 눈치가 없었네.
같이 골라주면 좋은데 시간이 너무 빠듯하네. 미안해.
괜찮아. 공부가 우선이지. 나 혼자 다녀올게.
혹시 고르기 힘들면 사진 찍어서 보내. 봐줄게.
오, 그래주면 완전 땡큐지. 방해 안 되게 몇 개만 보낼게.
그래, 예쁜 옷 잘 건져오길 바랄게. 파이팅."
7,일반 대화,"현우야, 이번 과학 조별 과제 조 짰어? 아직 안 했으면 나랑 할래?
아, 이번 과제 2인 1조로 하는 거 맞지?
응 맞아. 너랑 하면 점수 잘 받을 수 있을 것 같아서.
아 미안, 나 방금 철수랑 같이 하기로 약속했어.
아 그래? 한발 늦었네. 너 인기 많아서 경쟁이 치열하구나.
하하 아니야. 철수가 먼저 물어봐서 그러기로 했어.
알겠어. 그럼 나는 다른 애 찾아봐야겠다.
응, 아직 조 안 짠 애들 많으니까 금방 구할 거야.
그래, 과제 주제 정하면 서로 정보 공유하자.
좋아. 너도 좋은 파트너 구하길 바랄게."
8,일반 대화,"나영야, 잠깐 이야기 좀 할 수 있어? 할 말이 있어서.
응? 무슨 일인데 그래? 분위기가 좀 진지하네.
사실 내가 너를 예전부터 좋아했어. 나랑 사귀어 줄 수 있을까?
아... 정말? 전혀 몰랐어서 좀 당황스럽네.
갑작스러운 거 알아. 부담 주려는 건 아니니까 편하게 말해줘.
내 마음을 솔직하게 말하면, 나는 너를 좋은 친구로만 생각하고 있어.
그렇구나. 아쉽지만 네 마음이 그렇다면 어쩔 수 없지.
미안해. 너 정말 좋은 애지만 지금은 연애할 생각이 없어.
아니야, 솔직하게 말해줘서 고마워. 우리 어색해지지 말자.
응 당연하지. 앞으로도 계속 친하게 지내자."
9,일반 대화,"야 나영, 요즘 살찐 것 같지 않냐? 나랑 헬스장 다닐래?
헬스장? 갑자기 운동 바람이 불었어?
어, 혼자 하려니까 심심해서. 같이 하면 할인도 된대.
조건은 좋은데 나는 헬스는 좀 별로고 수영 배우려고.
아 진짜? 수영 등록했어? 헬스가 더 재밌는데.
물을 좋아해서 수영이 더 맞을 것 같아. 같이 못 해서 미안.
아니야 각자 취향이 있는 거지. 열심히 해봐.
그래 너도 득근하고 몸짱 되라. 나중에 비교해보자.
오냐, 내가 근육 빵빵하게 키워서 보여준다.
기대할게. 다치지 말고 조심히 운동해."
